plan,trump_seats,baldwin_seats
Wright '24,15,18
Law Forward '24,16,17
Senate Democrats '24,16,18
Actual '24,16,18
Evers Least Change '22,21,12
People's Map Commission '22,21,12
Legis. GOP '24,22,11
Actual '22,22,11
W.I.L.L. '24,22,14
